Elem,Thickness (mm),SCF,curve_type
7269,20,1,DNV-CD
7270,25,1,DNV-CD
7271,20,1,DNV-CD
7280,25,1,DNV-CD
7281,25,1,DNV-CD
7282,25,1,DNV-CD
7283,25,1,DNV-CD
7284,25,1,DNV-CD
7285,20,1,DNV-CD
7286,25,1,DNV-CD
7287,20,1,DNV-CD
7296,25,1,DNV-CD
7297,25,1,DNV-CD
7298,25,1,DNV-CD
7299,25,1,DNV-CD
7300,25,1,DNV-CD
7301,20,1,DNV-CD
7302,25,1,DNV-CD
7303,20,1,DNV-CD
7312,25,1,DNV-CD
7313,25,1,DNV-CD
7314,25,1,DNV-CD
7315,25,1,DNV-CD
7316,25,1,DNV-CD
7317,20,1,DNV-CD
7318,25,1,DNV-CD
7319,20,1,DNV-CD
7328,25,1,DNV-CD
7329,25,1,DNV-CD
7330,25,1,DNV-CD
7331,25,1,DNV-CD
7332,25,1,DNV-CD
7333,20,1,DNV-CD
7334,25,1,DNV-CD
7335,20,1,DNV-CD
7344,25,1,DNV-CD
7345,25,1,DNV-CD
7346,25,1,DNV-CD
7347,25,1,DNV-CD
7348,25,1,DNV-CD
7349,20,1,DNV-CD
7350,25,1,DNV-CD
7351,20,1,DNV-CD
7360,25,1,DNV-CD
7361,25,1,DNV-CD
7362,25,1,DNV-CD
7363,25,1,DNV-CD
7364,25,1,DNV-CD
7365,20,1,DNV-CD
7366,25,1,DNV-CD
7367,20,1,DNV-CD
7376,25,1,DNV-CD
7377,25,1,DNV-CD
7378,25,1,DNV-CD
7379,25,1,DNV-CD
7380,25,1,DNV-CD
7381,20,1,DNV-CD
7382,25,1,DNV-CD
7383,20,1,DNV-CD
7392,25,1,DNV-CD
7393,25,1,DNV-CD
7394,25,1,DNV-CD
7395,25,1,DNV-CD
7396,25,1,DNV-CD
7397,20,1,DNV-CD
7398,25,1,DNV-CD
7399,20,1,DNV-CD
7408,25,1,DNV-CD
7409,25,1,DNV-CD
7410,25,1,DNV-CD
7411,25,1,DNV-CD
7412,25,1,DNV-CD
7413,20,1,DNV-CD
7414,25,1,DNV-CD
7415,20,1,DNV-CD
7424,25,1,DNV-CD
7425,25,1,DNV-CD
7426,25,1,DNV-CD
7427,25,1,DNV-CD
7428,25,1,DNV-CD
7429,20,1,DNV-CD
7430,25,1,DNV-CD
7431,20,1,DNV-CD
7440,25,1,DNV-CD
7441,25,1,DNV-CD
7442,25,1,DNV-CD
7443,25,1,DNV-CD
7444,25,1,DNV-CD
7445,20,1,DNV-CD
7446,25,1,DNV-CD
7447,20,1,DNV-CD
7456,25,1,DNV-CD
7457,25,1,DNV-CD
7458,25,1,DNV-CD
7459,25,1,DNV-CD
7460,25,1,DNV-CD
7461,20,1,DNV-CD
7462,25,1,DNV-CD
